,Date,Dividends,Adj Close,Total Return Delta
0,2001-03-23,0.001013,6.936632,
1,2001-06-25,0.049392,7.079179,2.767034491666844
2,2001-09-24,0.048632,6.172205,-12.124880582903758
3,2001-12-24,0.0846,7.044841,15.508817351335544
4,2002-03-26,0.048886,7.151586,2.2091485102360795
5,2002-06-24,0.049899,6.487682,-8.585578080162913
6,2002-09-23,0.049645,5.584096,-13.162497791969468
7,2002-12-23,0.050659,6.174582,11.481625674057177
8,2003-03-24,0.053445,6.034669,-1.4003862933555662
9,2003-06-23,0.054711,6.573258,9.831525142472605
10,2003-09-25,0.056231,7.017857,7.619204966547799
11,2003-12-29,0.055218,7.693314,10.411654155962422
12,2004-03-25,0.055218,7.885846,3.2203287165972934
13,2004-06-25,0.059524,7.972723,1.856503411301717
14,2004-09-27,0.060284,8.040463,1.6057750908942892
15,2004-12-29,0.062057,8.650167,8.354755192580306
16,2005-03-28,0.060537,8.898293,3.5682894908271834
17,2005-06-27,0.064083,9.57679,8.345196095475842
18,2005-09-27,0.066869,10.731845,12.759223079967292
19,2005-12-23,0.077001,10.954569,2.7928562143787827
20,2006-03-28,0.099291,11.808352,8.7002418808079
21,2006-06-27,0.101064,11.136644,-4.832545642270825
22,2006-09-26,0.108409,11.545655,4.646103440138695
23,2006-12-22,0.125127,12.670929,10.830056848225588
24,2007-03-27,0.097518,13.238829,5.251532859192888
25,2007-06-26,0.119048,13.761731,4.848993819619528
26,2007-09-25,0.114488,14.136559,3.555628285424272
27,2007-12-24,0.137031,13.916816,-0.5850928786842612
28,2008-03-26,0.10689,13.74277,-0.4825529057796026
29,2008-06-25,0.138804,14.839156,8.987926014915475
30,2008-09-25,0.152989,13.000006,-11.362917136257606
31,2008-12-24,0.160081,8.695727,-31.878431440723958
32,2009-03-26,0.107396,9.535882,10.896742733528786
33,2009-06-25,0.129686,11.037462,17.106608492009425
34,2009-09-25,0.112462,12.048277,10.176950099579066
35,2009-12-24,0.113475,12.691985,6.284574964536419
36,2010-03-26,0.118541,12.998882,3.3520209801697662
37,2010-06-25,0.116515,12.795082,-0.6714808242739615
38,2010-09-27,0.122594,13.421453,5.8535381015924575
39,2010-12-24,0.114488,14.82332,11.297994337870875
40,2011-03-25,0.139818,15.638076,6.4396774811580615
41,2011-06-24,0.111449,14.448304,-6.8954966071273684
42,2011-09-23,0.114488,12.919595,-9.788145376786101
43,2011-12-23,0.101317,13.499911,5.2759625978987845
44,2012-03-23,0.139818,14.197579,6.20364089807702
45,2012-06-22,0.134752,13.133975,-6.542326688233249
46,2012-09-21,0.131712,14.339162,10.178936689006951
47,2012-12-24,0.101317,14.405194,1.1670765697465426
48,2013-03-21,0.148936,14.956804,4.863148667071065
49,2013-06-19,0.16616,14.497154,-1.962250758918819
50,2013-09-18,0.161094,15.398313,7.327320934853835
51,2013-12-27,0.10537,16.302277,6.554834935489367
52,2014-03-19,0.155015,17.285137,6.979853182472592
53,2014-06-18,0.14387,18.358709,7.043288115101443
54,2014-09-17,0.160081,18.91897,3.9237072715734107
55,2014-12-29,0.150963,18.089392,-3.5869553152206515
56,2015-03-18,0.165147,18.58415,3.648022000960574
57,2015-06-17,0.168186,18.408072,-0.04246629520318005
58,2015-09-16,0.16616,17.346313,-4.865251504883296
59,2015-12-29,0.171226,16.826708,-2.0083749209414004
60,2016-03-16,0.165147,17.255836,3.5317365702191994
61,2016-06-15,0.170213,17.959059,5.061684638171119
62,2016-09-14,0.16616,18.656027,4.80608700043807
63,2016-12-28,0.16616,20.114347,8.707534567783366
64,2017-03-24,0.170213,20.344524,1.9905692190753277
65,2017-06-23,0.187437,20.324692,0.82383347971178
66,2017-09-25,0.181358,20.718912,2.8319149928569654
67,2017-12-28,0.108409,21.841312,5.940509810553762
68,2018-03-23,0.175279,20.636343,-4.714414591943921
69,2018-06-25,0.199595,22.110685,8.111597098381234
70,2018-09-19,0.211753,22.212658,1.4188886504420943
71,2018-12-28,0.149949,19.770607,-10.31890015143619
72,2019-03-25,0.18541,22.474953,14.616425282238438
73,2019-06-19,0.218845,23.272892,4.524076201627658
74,2019-09-24,0.221884,23.857159,3.4639055601684565
75,2019-12-30,0.201621,24.518257,3.616184978270038
76,2020-03-25,0.220871,18.915913,-21.948840001146902
77,2020-06-24,0.221884,22.29319,19.027159830984626
78,2020-09-24,0.212766,23.379349,5.826555104944607
79,2020-12-30,0.194529,26.03385,12.186096370775761
80,2021-03-25,0.204661,27.847525,7.752737301628462
81,2021-06-24,0.206687,30.362072,9.771906120920976
82,2021-09-24,0.208713,30.840322,2.262569563763628
83,2021-12-30,0.206,32.011688,4.466120684472756
84,2022-03-25,0.218,33.2868,4.664271374880336
85,2022-06-24,0.238,29.05591,-11.995415600177846
86,2022-09-23,0.273,28.38035,-1.3854668465038649
87,2022-12-29,0.227,30.208885,7.242810606634517
88,2023-03-22,0.259,30.479307,1.7525373743519506
89,2023-06-26,0.267,30.8029,1.9376851317518535
90,2023-09-25,0.272,31.41,2.853952062955103
