,Date,Dividends,Adj Close,Total Return Delta,Extremes
0,1972-11-28,0.004151,0.181551,,
1,1973-02-28,0.003163,0.178028,-0.1982913891964237,Non-Extreme
2,1973-05-30,0.003163,0.178169,1.8558878378682013,Non-Extreme
3,1973-08-28,0.003163,0.19097,8.960032328856315,Non-Extreme
4,1973-11-27,0.004349,0.187674,0.5513955071477187,Non-Extreme
5,1974-03-05,0.00336,0.170333,-7.44962008589362,Non-Extreme
6,1974-05-29,0.003756,0.148178,-10.80178239096358,Non-Extreme
7,1974-08-27,0.003756,0.108181,-24.457746764027057,Negative Extreme
8,1974-11-25,0.004744,0.134093,28.337693310285527,Positive Extreme
9,1975-03-04,0.003756,0.157844,20.51337504567728,Non-Extreme
10,1975-05-27,0.003756,0.152114,-1.2506018600643696,Non-Extreme
11,1975-09-02,0.003756,0.114883,-22.006521424720937,Negative Extreme
12,1975-11-28,0.004744,0.124818,12.777347388212364,Non-Extreme
13,1976-03-02,0.004151,0.123545,2.305757182457663,Non-Extreme
14,1976-06-01,0.004151,0.124483,4.119146869561694,Non-Extreme
15,1976-08-31,0.004349,0.130056,7.97056626205988,Non-Extreme
16,1976-11-26,0.004349,0.124179,-1.1748785138709492,Non-Extreme
17,1977-03-01,0.004744,0.129919,8.442651333961464,Non-Extreme
18,1977-05-31,0.004744,0.117648,-5.793609864607952,Non-Extreme
19,1977-09-02,0.004744,0.127612,12.501699986400109,Non-Extreme
20,1977-11-25,0.005337,0.133679,8.936463655455599,Non-Extreme
21,1978-02-28,0.005337,0.125371,-2.222488199343183,Non-Extreme
22,1978-05-26,0.00593,0.157121,30.054797361431262,Positive Extreme
23,1978-08-29,0.00593,0.172621,13.63916981180108,Non-Extreme
24,1978-11-22,0.00593,0.164867,-1.0566501178883172,Non-Extreme
25,1979-03-06,0.006523,0.159035,0.41912571951936844,Non-Extreme
26,1979-05-24,0.006523,0.148741,-2.371176156192031,Non-Extreme
27,1979-08-28,0.006523,0.182218,26.892383404710184,Positive Extreme
28,1979-11-23,0.006523,0.206404,16.852890493804136,Non-Extreme
29,1980-03-04,0.007116,0.185563,-6.649580434487698,Non-Extreme
30,1980-05-29,0.007116,0.214836,19.610051572781213,Non-Extreme
31,1980-09-02,0.007116,0.222046,6.66834236347726,Non-Extreme
