,Date,Dividends,Adj Close,Total Return Delta,Extremes
0,1995-01-19,0.0725,2.463472,,
1,1995-04-18,0.0725,2.766377,15.23885800203939,Non-Extreme
2,1995-07-21,0.0725,2.770013,2.7521917656197976,Non-Extreme
3,1995-10-23,0.0775,2.727312,1.2562756925689527,Non-Extreme
4,1996-01-22,0.0775,3.077075,15.666084408384517,Non-Extreme
5,1996-04-22,0.02125,3.158977,3.3522744814474974,Non-Extreme
6,1996-07-22,0.085,3.321236,7.827185826297553,Non-Extreme
7,1996-10-22,0.085,4.212581,29.397037729327284,Positive Extreme
8,1997-01-23,0.0925,4.898584,18.480428032125666,Non-Extreme
9,1997-04-22,0.0925,5.295079,9.982374498426505,Non-Extreme
10,1997-07-22,0.0975,6.781929,29.92117775768784,Positive Extreme
11,1997-10-23,0.0975,7.459699,11.431408379533314,Non-Extreme
12,1998-01-22,0.105,7.244678,-1.4748718413437167,Non-Extreme
13,1998-04-22,0.105,8.890316,24.164469421553314,Non-Extreme
14,1998-07-23,0.115,8.717879,-0.6460625246616676,Non-Extreme
15,1998-10-22,0.115,6.784472,-20.858364746746307,Negative Extreme
16,1999-01-21,0.115,7.861525,17.570313504131203,Non-Extreme
17,1999-04-21,0.115,7.965794,2.789140783753773,Non-Extreme
18,1999-07-22,0.12,7.169649,-8.48810551716502,Non-Extreme
19,1999-10-21,0.12,6.508899,-7.542210225354117,Non-Extreme
20,2000-01-21,0.135,6.016956,-5.483922856999321,Non-Extreme
21,2000-04-19,0.135,7.818622,32.18680675078893,Positive Extreme
22,2000-07-21,0.15,8.365524,8.913360947747577,Non-Extreme
23,2000-10-23,0.15,8.93746,8.629895748311753,Non-Extreme
24,2001-01-22,0.165,11.262321,27.85870929771993,Positive Extreme
25,2001-04-20,0.165,9.802645,-11.495641084994832,Non-Extreme
26,2001-07-23,0.18,11.257872,16.68148749648692,Non-Extreme
27,2001-10-22,0.18,10.16017,-8.151647131891357,Non-Extreme
28,2002-01-22,0.18,11.186885,11.87691741378342,Non-Extreme
29,2002-04-22,0.19,12.766593,15.819488624402588,Non-Extreme
30,2002-07-22,0.19,11.147556,-11.193565894988593,Non-Extreme
31,2002-10-21,0.2,13.006036,18.46575159613461,Non-Extreme
32,2003-01-23,0.2,13.275197,3.6072558925717235,Non-Extreme
33,2003-04-21,0.215,13.674041,4.623991643965812,Non-Extreme
34,2003-07-21,0.215,13.753065,2.150234886673212,Non-Extreme
35,2003-10-23,0.23,15.121565,11.622863703472655,Non-Extreme
36,2004-01-22,0.23,14.974227,0.5466497680630339,Non-Extreme
37,2004-04-20,0.26,14.9328,1.459661323419227,Non-Extreme
38,2004-07-22,0.26,14.706199,0.2236620057859162,Non-Extreme
39,2004-10-22,0.26,14.950567,3.429628553237988,Non-Extreme
40,2005-01-24,0.275,15.454032,5.206926265739624,Non-Extreme
41,2005-04-21,0.275,18.147102,19.20579690788785,Non-Extreme
42,2005-07-22,0.305,19.616875,9.779925191361132,Non-Extreme
43,2005-10-21,0.32,20.814436,7.735997706056651,Non-Extreme
44,2006-01-24,0.32,22.575558,9.998454918499835,Non-Extreme
45,2006-04-21,0.36,24.233318,8.937807871681395,Non-Extreme
46,2006-07-24,0.36,24.210629,1.3919307294197174,Non-Extreme
47,2006-10-24,0.4,25.714071,7.862009698302337,Non-Extreme
48,2007-01-23,0.4,28.305147,11.632059349917792,Non-Extreme
49,2007-04-23,0.46,31.111935,11.541321442351096,Non-Extreme
50,2007-07-24,0.46,29.653101,-3.210452837472175,Non-Extreme
51,2007-10-23,0.5,28.701088,-1.5243363586155825,Non-Extreme
52,2008-01-22,0.5,26.344282,-6.469462063598422,Non-Extreme
53,2008-04-22,0.5,26.202204,1.3586325867601878,Non-Extreme
54,2008-07-22,0.5,24.950663,-2.8682358171091242,Non-Extreme
55,2008-10-23,0.5,26.487051,8.161658870547859,Non-Extreme
56,2009-01-22,0.5,17.03643,-33.79244069111356,Negative Extreme
57,2009-04-21,0.5,23.740902,42.28862502296549,Positive Extreme
58,2009-07-23,0.5,28.999327,24.255291563900997,Non-Extreme
59,2009-10-22,0.5,33.065144,15.74456193414418,Non-Extreme
60,2010-01-22,0.5,31.193481,-4.1483654206979965,Non-Extreme
61,2010-04-20,0.5,36.460285,18.487208913939423,Non-Extreme
62,2010-07-22,0.5,31.223988,-12.990290668325825,Non-Extreme
63,2010-10-22,0.5,33.779003,9.78419220504442,Non-Extreme
64,2011-01-24,0.5,32.671326,-1.7989784956056944,Non-Extreme
65,2011-04-21,0.5,36.972374,14.694989728913976,Non-Extreme
66,2011-07-22,0.54,33.165623,-8.835653885790526,Non-Extreme
67,2011-10-24,0.54,30.286039,-7.05424408882655,Non-Extreme
68,2012-01-24,0.54,34.219898,14.772017562283404,Non-Extreme
69,2012-04-23,0.57,36.306034,7.761963521925157,Non-Extreme
70,2012-07-24,0.57,33.021503,-7.476803993517976,Non-Extreme
71,2012-10-23,0.6,37.38084,15.018507788697558,Non-Extreme
72,2013-01-22,0.6,40.941624,11.130793208499327,Non-Extreme
73,2013-04-23,0.63,40.103092,-0.5093398346875497,Non-Extreme
74,2013-07-23,0.63,44.00174,11.292515799031168,Non-Extreme
75,2013-10-22,0.67,47.220524,8.837795959887043,Non-Extreme
76,2014-01-23,0.67,49.221287,5.655936812560575,Non-Extreme
77,2014-04-22,0.71,50.424866,3.8877061463264986,Non-Extreme
78,2014-07-22,0.71,55.749489,11.967553865190233,Non-Extreme
79,2014-10-23,0.75,56.216919,2.183750957789049,Non-Extreme
80,2015-01-22,0.75,53.479885,-3.5345836010685576,Non-Extreme
81,2015-04-21,0.77,58.031204,9.950131717747714,Non-Extreme
82,2015-07-23,0.77,55.139172,-3.656708552867518,Non-Extreme
83,2015-10-22,0.79,54.888504,0.9781285798052872,Non-Extreme
84,2016-01-22,0.79,51.774387,-4.234250946245504,Non-Extreme
85,2016-04-21,0.81,58.476437,14.509201238828773,Non-Extreme
86,2016-07-22,0.81,60.664505,5.1269676365541965,Non-Extreme
87,2016-10-24,0.83,64.491264,7.676249892750302,Non-Extreme
88,2017-01-24,0.83,72.512123,13.724120835963147,Non-Extreme
89,2017-04-21,0.87,74.093674,3.380884324680433,Non-Extreme
90,2017-07-24,0.87,74.084297,1.1615337093420663,Non-Extreme
91,2017-10-25,0.91,80.009514,9.226269637140492,Non-Extreme
92,2018-01-24,0.91,85.321312,7.7763227008228135,Non-Extreme
93,2018-04-24,0.94,78.460243,-6.939730368890721,Non-Extreme
94,2018-07-25,0.94,82.741257,6.654343397840351,Non-Extreme
95,2018-10-24,0.98,78.370628,-4.097869820856123,Non-Extreme
96,2019-01-23,0.98,82.534683,6.563753706299265,Non-Extreme
97,2019-04-24,1.02,89.074623,9.15971289306339,Non-Extreme
98,2019-07-24,1.02,89.586006,1.7192135632165304,Non-Extreme
99,2019-10-23,1.05,91.530983,3.3431303991831114,Non-Extreme
100,2020-01-24,1.05,92.000565,1.6601831972021819,Non-Extreme
101,2020-04-22,1.08,73.138199,-19.328539993205474,Negative Extreme
102,2020-07-24,1.08,83.533012,15.689220074998014,Non-Extreme
103,2020-10-23,1.08,86.786484,5.187735837898435,Non-Extreme
104,2021-01-25,1.08,96.773003,12.75143143257192,Non-Extreme
105,2021-04-21,1.08,106.637741,11.309701735720653,Non-Extreme
106,2021-07-23,1.08,116.162598,9.944750236222648,Non-Extreme
107,2021-10-25,1.08,123.774948,7.482916317005918,Non-Extreme
108,2022-01-25,1.2,133.084702,8.491018715677415,Non-Extreme
109,2022-04-22,1.2,126.204979,-4.267750473679534,Non-Extreme
110,2022-07-25,1.28,118.2463,-5.291929884953262,Non-Extreme
111,2022-10-25,1.28,120.231247,2.7611409405621927,Non-Extreme
112,2023-01-25,1.32,130.836365,9.91848483447901,Non-Extreme
113,2023-04-24,1.32,132.105591,1.978980385155149,Non-Extreme
114,2023-07-25,1.35,130.009995,-0.5643939778445911,Non-Extreme
