Date,spread_10_3,Adj Close,Adj Fitted,Residuals,Upper,Lower
2023-02-09,-1.0999999999999996,136.481857,136.86867852987942,-0.38682152987942686,148.18101642101516,125.55634063874366
2023-02-10,-1.0499999999999998,136.001587,136.4047558804823,-0.4031688804822977,147.71709377161804,125.09241798934654
2023-02-13,-1.0899999999999994,136.22702,136.775894,-0.5488739999999837,148.08823189113573,125.46355610886424
2023-02-14,-1.0299999999999998,136.089813,136.21918682072348,-0.1293738207234867,147.53152471185922,124.90684892958772
2023-02-15,-0.98,135.913391,135.7552641713264,0.15812682867360195,147.06760206246213,124.44292628019063
2023-02-16,-0.98,135.785965,135.7552641713264,0.030700828673616343,147.06760206246213,124.44292628019063
2023-02-17,-1.02,136.030991,136.12640229084408,-0.0954112908440834,147.43874018197982,124.81406439970833
2023-02-21,-0.9100000000000001,135.482117,135.10577246217045,0.3763445378295387,146.4181103533062,123.7934345710347
2023-02-22,-0.9099999999999997,133.835526,135.10577246217045,-1.270246462170462,146.4181103533062,123.7934345710347
2023-02-23,-0.96,133.169037,135.56969511156754,-2.4006581115675374,146.88203300270328,124.25735722043179
2023-02-24,-0.9100000000000001,134.492203,135.10577246217045,-0.6135694621704602,146.4181103533062,123.7934345710347
2023-02-27,-0.9699999999999998,135.295898,135.66247964144696,-0.36658164144697025,146.9748175325827,124.35014175031121
2023-02-28,-0.96,135.785965,135.56969511156754,0.21626988843246409,146.88203300270328,124.25735722043179
2023-03-01,-0.8900000000000006,130.963776,134.9202034024116,-3.956427402411606,146.23254129354734,123.60786551127585
2023-03-02,-0.8300000000000001,133.502289,134.3634962231351,-0.8612072231350965,145.67583411427083,123.05115833199933
2023-03-03,-0.94,134.03154,135.38412605180872,-1.3525860518087143,146.69646394294446,124.07178816067297
2023-03-06,-0.9499999999999997,134.482407,135.47691058168814,-0.99450358168815,146.78924847282389,124.16457269055239
2023-03-07,-1.0699999999999998,133.825729,136.59032494024117,-2.764595940241179,147.90266283137692,125.27798704910542
2023-03-08,-1.0799999999999996,134.335388,136.68310947012057,-2.3477214701205753,147.9954473612563,125.37077157898482
2023-03-09,-1.1199999999999997,132.698578,137.05424758963827,-4.355669589638268,148.366585480774,125.74190969850251
2023-03-10,-1.3099999999999996,130.463913,138.81715365734726,-8.353240657347271,150.129491548483,127.50481576621151
2023-03-13,-1.3200000000000003,128.660492,138.90993818722666,-10.249446187226653,150.2222760783624,127.5976002960909
2023-03-14,-1.2399999999999998,130.120865,138.16766194819132,-8.046796948191314,149.47999983932706,126.85532405705557
2023-03-15,-1.2400000000000002,127.944992,138.16766194819132,-10.222669948191324,149.47999983932706,126.85532405705557
2023-03-16,-1.1800000000000002,127.9058,137.6109547689148,-9.70515476891481,148.92329266005055,126.29861687777905
2023-03-17,-1.1299999999999994,124.730202,137.1470321195177,-12.416830119517684,148.45937001065343,125.83469422838193
2023-03-20,-1.3399999999999994,125.99456,139.0955072469855,-13.100947246985498,150.40784513812125,127.78316935584975
2023-03-21,-1.1900000000000004,127.200104,137.7037392987942,-10.503635298794208,149.01607718992994,126.39140140765845
2023-03-22,-1.31,125.445694,138.81715365734723,-13.37145965734723,150.12949154848297,127.50481576621148
2023-03-23,-1.3500000000000005,124.543976,139.18829177686493,-14.644315776864929,150.50062966800067,127.87595388572917
2023-03-24,-1.3600000000000003,124.289146,139.28107630674432,-14.991930306744322,150.59341419788007,127.96873841560857
2023-03-27,-1.3800000000000003,125.230057,139.46664536650314,-14.236588366503142,150.77898325763888,128.1543074753674
2023-03-28,-1.25,124.612587,138.2604464780707,-13.647859478070686,149.57278436920643,126.94810858693494
2023-03-29,-1.23,125.573105,138.07487741831184,-12.501772418311845,149.38721530944758,126.76253952717609
2023-03-30,-1.42,125.906357,139.83778348602084,-13.93142648602084,151.15012137715658,128.5254455948851
2023-03-31,-1.3699999999999997,126.680649,139.37386083662372,-12.693211836623718,150.68619872775946,128.06152294548798
2023-04-03,-1.4700000000000002,128.337051,140.30170613541793,-11.964655135417928,151.61404402655367,128.9893682442822
2023-04-04,-1.5299999999999998,127.866592,140.85841331469445,-12.991821314694448,152.1707512058302,129.5460754235587
2023-04-05,-1.5600000000000005,127.739174,141.13676690433272,-13.397592904332711,152.44910479546846,129.82442901319698
2023-04-06,-1.6100000000000003,127.954811,141.6006895537298,-13.645878553729801,152.91302744486555,130.28835166259407
2023-04-10,-1.67,128.562469,142.15739673300632,-13.59492773300633,153.46973462414206,130.84505884187058
2023-04-11,-1.6099999999999999,129.160339,141.6006895537298,-12.440350553729814,152.91302744486555,130.28835166259407
2023-04-12,-1.6099999999999994,129.248566,141.6006895537298,-12.352123553729797,152.91302744486555,130.28835166259407
2023-04-13,-1.6499999999999995,129.464188,141.97182767324747,-12.507639673247468,153.28416556438322,130.65948978211173
2023-04-14,-1.6199999999999997,130.150253,141.6934740836092,-11.543221083609211,153.00581197474494,130.38113619247346
2023-04-17,-1.6099999999999999,130.875549,141.6006895537298,-10.725140553729801,152.91302744486555,130.28835166259407
2023-04-18,-1.62,131.620438,141.6934740836092,-10.073036083609196,153.00581197474494,130.38113619247346
2023-04-19,-1.56,132.012512,141.1367669043327,-9.124254904332702,152.44910479546843,129.82442901319695
2023-04-20,-1.58,132.071304,141.32233596409154,-9.251031964091538,152.63467385522728,130.0099980729558
2023-04-21,-1.5699999999999998,132.610382,141.2295514342121,-8.619169434212125,152.54188932534785,129.91721354307637
2023-04-24,-1.6800000000000002,132.105591,142.25018126288575,-10.144590262885743,153.5625191540215,130.93784337175
2023-04-25,-1.7200000000000002,130.413055,142.62131938240344,-12.208264382403428,153.93365727353918,131.3089814912677
2023-04-26,-1.73,130.878265,142.71410391228287,-11.835838912282867,154.0264418034186,131.40176602114713
2023-04-27,-1.65,132.422302,141.9718276732475,-9.549525673247501,153.28416556438324,130.65948978211176
2023-04-28,-1.6599999999999997,133.134949,142.06461220312696,-8.92966320312695,153.3769500942627,130.75227431199121
2023-05-01,-1.6799999999999997,132.996384,142.25018126288577,-9.253797262885769,153.56251915402152,130.93784337175003
2023-05-02,-1.8000000000000003,130.096344,143.36359562143886,-13.267251621438874,154.6759335125746,132.05125773030312
2023-05-03,-1.88,129.779602,144.1058718604742,-14.326269860474184,155.41820975160994,132.79353396933845
2023-05-04,-1.8899999999999997,127.948524,144.19865639035362,-16.250132390353613,155.51099428148936,132.88631849921788
2023-05-05,-1.8199999999999998,129.740021,143.54916468119768,-13.809143681197668,154.86150257233342,132.23682679006194
2023-05-08,-1.7899999999999996,130.007263,143.27081109155944,-13.263548091559443,154.58314898269518,131.9584732004237
2023-05-09,-1.7600000000000002,128.106873,142.9924575019212,-14.885584501921187,154.30479539305693,131.68011961078545
2023-05-10,-1.81,127.641701,143.4563801513183,-15.814679151318316,154.76871804245405,132.14404226018257
2023-05-11,-1.81,128.512695,143.4563801513183,-14.943685151318306,154.76871804245405,132.14404226018257
2023-05-12,-1.79,128.56218,143.27081109155947,-14.708631091559454,154.5831489826952,131.95847320042373
2023-05-15,-1.71,129.58165,142.5285348525241,-12.946884852524107,153.84087274365984,131.21619696138836
2023-05-16,-1.6900000000000004,126.988441,142.34296579276528,-15.35452479276529,153.65530368390102,131.03062790162954
2023-05-17,-1.69,127.305161,142.34296579276528,-15.037804792765286,153.65530368390102,131.03062790162954
2023-05-18,-1.6599999999999997,126.592529,142.064612203127,-15.472083203127013,153.37695009426275,130.75227431199127
2023-05-19,-1.5899999999999999,125.889786,141.41512049397105,-15.525334493971044,152.7274583851068,130.1027826028353
2023-05-23,-1.6399999999999997,124.593178,141.87904314336816,-17.28586514336817,153.1913810345039,130.56670525223242
