Date,Date,spread_10_2,spread_10_3,Adj Close,Delta,Extremes,Adj Fitted,Residuals
2023-05-05,2023-05-05,-0.48,-1.8199999999999998,129.740021,1.4001701184141888,Non-Extreme,127.53622933552695,2.2037916644730586
2023-05-08,2023-05-08,-0.48,-1.7899999999999996,130.007263,0.2059827013593452,Non-Extreme,127.35953162218134,2.6477313778186584
2023-05-09,2023-05-09,-0.48,-1.7600000000000002,128.106873,-1.461756794310782,Non-Extreme,127.18283390883575,0.9240390911642606
2023-05-10,2023-05-10,-0.46999999999999975,-1.81,127.641701,-0.3631124459653383,Non-Extreme,127.47733009774507,0.16437090225493023
2023-05-11,2023-05-11,-0.5,-1.81,128.512695,0.6823741717450242,Non-Extreme,127.47733009774507,1.0353649022549405
2023-05-12,2023-05-12,-0.52,-1.79,128.56218,0.0385059234809481,Non-Extreme,127.35953162218135,1.2026483778186616
2023-05-15,2023-05-15,-0.4900000000000002,-1.71,129.58165,0.792978152672881,Non-Extreme,126.88833771992641,2.6933122800735845
2023-05-16,2023-05-16,-0.5199999999999996,-1.6900000000000004,126.988441,-2.001216221586932,Non-Extreme,126.77053924436268,0.21790175563731395
2023-05-17,2023-05-17,-0.5500000000000003,-1.69,127.305161,0.2494085268752954,Non-Extreme,126.77053924436268,0.5346217556373176
2023-05-18,2023-05-18,-0.5900000000000003,-1.6599999999999997,126.592529,-0.5597824898866428,Non-Extreme,126.59384153101708,-0.0013125310170778448
2023-05-19,2023-05-19,-0.5800000000000001,-1.5899999999999999,125.889786,-0.5551220167186944,Non-Extreme,126.18154686654402,-0.2917608665440241
2023-05-23,2023-05-23,-0.5599999999999996,-1.6399999999999997,124.593178,-1.029954884505091,Non-Extreme,126.47604305545336,-1.8828650554533652
2023-05-24,2023-05-24,-0.5799999999999996,-1.6400000000000001,122.484955,-1.6920854205998304,Non-Extreme,126.47604305545336,-3.9910880554533605
2023-05-25,2023-05-25,-0.6699999999999999,-1.5499999999999998,120.238159,-1.8343444711230072,Non-Extreme,125.94594991541658,-5.707790915416581
2023-05-26,2023-05-26,-0.7400000000000002,-1.54,121.8218,1.3170868659091828,Non-Extreme,125.8870506776347,-4.065250677634708
2023-05-30,2023-05-30,-0.77,-1.8599999999999999,121.851494,-0.3077160767148459,Non-Extreme,127.77182628665442,-5.920332286654414
2023-05-31,2023-05-31,-0.7600000000000002,-1.8799999999999994,120.188667,-1.3646340684177471,Non-Extreme,127.88962476221815,-7.700957762218152
2023-06-01,2023-06-01,-0.7200000000000002,-1.8900000000000001,120.347031,0.1317628391701906,Non-Extreme,127.94852400000002,-7.601493000000019
2023-06-02,2023-06-02,-0.81,-1.81,122.791779,2.0314152993105448,Non-Extreme,127.4773300977451,-4.6855510977450905
2023-06-05,2023-06-05,-0.77,-1.77,121.663437,-0.9189067942406824,Non-Extreme,127.24173314661763,-5.578296146617632
2023-06-06,2023-06-06,-0.8099999999999996,-1.7400000000000002,122.445358,0.6426918549078939,Non-Extreme,127.06503543327204,-4.619677433272045
2023-06-07,2023-06-07,-0.7699999999999996,-1.63,121.831696,-0.5011721228337664,Non-Extreme,126.41714381767152,-4.585447817671522
2023-06-08,2023-06-08,-0.7899999999999996,-1.65,122.039558,0.1706140576094465,Non-Extreme,126.53494229323525,-4.495384293235247
2023-06-09,2023-06-09,-0.8399999999999999,-1.62,122.62352,0.4785022246639074,Non-Extreme,126.35824457988966,-3.734724579889658
2023-06-12,2023-06-12,-0.8199999999999998,-1.6700000000000004,122.702705,0.0645757029320275,Non-Extreme,126.65274076879896,-3.950035768798969
2023-06-13,2023-06-13,-0.8300000000000001,-1.5200000000000005,123.544014,0.6856482911277382,Non-Extreme,125.76925220207099,-2.225238202070983
2023-06-14,2023-06-14,-0.9100000000000001,-1.5300000000000002,123.900337,0.2884178589178663,Non-Extreme,125.82815143985286,-1.9278144398528667
2023-06-15,2023-06-15,-0.8999999999999999,-1.6099999999999999,124.543694,0.5192536320542929,Non-Extreme,126.29934534210777,-1.7556513421077682
