Date,Date,spread_10_2,spread_10_3,Adj Close,Delta,Extremes,Dividend Yield,Fitted Values
2007-05-01,2007-05-01,0.009999999999999787,-0.2600000000000007,30.088339,-0.8647515627101461,Non-Extreme,6.22227417821161,30.185315139398874
2007-05-02,2007-05-02,0.0,-0.2599999999999998,30.209078,0.4012817058462428,Non-Extreme,6.22227417821161,30.18531513939887
2007-05-03,2007-05-03,-0.03000000000000025,-0.22000000000000064,30.235331,0.0869043404767168,Non-Extreme,6.22227417821161,30.098521102099436
2007-05-04,2007-05-04,-0.02999999999999936,-0.25,30.686752,1.4930248324385795,Non-Extreme,6.22227417821161,30.163616630074014
2007-05-07,2007-05-07,-0.040000000000000036,-0.25,30.896715,0.6842138262140024,Non-Extreme,6.22227417821161,30.163616630074014
2007-05-08,2007-05-08,-0.04999999999999982,-0.27000000000000046,31.033199,0.4417427548527388,Non-Extreme,6.22227417821161,30.20701364872373
2007-05-09,2007-05-09,-0.0600000000000005,-0.20999999999999996,30.844217,-0.6089671902661383,Non-Extreme,6.22227417821161,30.076822592774576
2007-05-10,2007-05-10,-0.04999999999999982,-0.21999999999999975,30.82324,-0.068009507260314,Non-Extreme,6.22227417821161,30.098521102099436
2007-05-11,2007-05-11,-0.040000000000000036,-0.20000000000000018,31.127689,0.9877254954378636,Non-Extreme,6.22227417821161,30.05512408344972
2007-05-14,2007-05-14,-0.040000000000000036,-0.15999999999999925,31.227411,0.3203642904553558,Non-Extreme,6.22227417821161,29.968330046150278
2007-05-15,2007-05-15,-0.040000000000000036,-0.1200000000000001,31.337662,0.353058407563796,Non-Extreme,6.22227417821161,29.881536008850844
2007-05-16,2007-05-16,-0.020000000000000462,-0.040000000000000036,31.489889,0.4857637433194598,Non-Extreme,6.22227417821161,29.707947934251973
2007-05-17,2007-05-17,-0.020000000000000462,-0.04999999999999982,31.573856,0.2666474943750919,Non-Extreme,6.22227417821161,29.72964644357683
2007-05-18,2007-05-18,-0.010000000000000675,-0.03000000000000025,31.552876,-0.0664473797562071,Non-Extreme,6.22227417821161,29.686249424927112
2007-05-22,2007-05-22,0.0,-0.09999999999999964,31.642099,0.2827729554668819,Non-Extreme,6.22227417821161,29.838138990201127
2007-05-23,2007-05-23,0.010000000000000675,-0.04999999999999982,31.652617,0.0332405255416133,Non-Extreme,6.22227417821161,29.72964644357683
2007-05-24,2007-05-24,0.010000000000000675,-0.04999999999999982,31.820581,0.5306480661614846,Non-Extreme,6.22227417821161,29.72964644357683
2007-05-25,2007-05-25,0.010000000000000675,-0.019999999999999574,30.880966,-2.952853060728212,Negative Extreme,6.22227417821161,29.664550915602252
2007-05-29,2007-05-29,0.0,-0.020000000000000462,30.67625,-1.0330279091297347,Non-Extreme,6.22227417821161,29.664550915602256
2007-05-30,2007-05-30,-0.009999999999999787,0.03000000000000025,30.880966,0.6673436290289759,Non-Extreme,6.22227417821161,29.556058368977958
