Date,Date,spread_10_2,spread_10_3,Adj Close
2010-01-04,2010-01-04,2.76,3.77,11.421537
2010-01-05,2010-01-05,2.76,3.7,11.793666
2010-01-06,2010-01-06,2.84,3.79,12.028396
2010-01-07,2010-01-07,2.8200000000000003,3.8000000000000003,11.902443
2010-01-08,2010-01-08,2.87,3.7800000000000002,11.902443
2010-01-11,2010-01-11,2.9000000000000004,3.81,11.839461
2010-01-12,2010-01-12,2.8200000000000003,3.6900000000000004,11.71924
2010-01-13,2010-01-13,2.83,3.7399999999999998,11.736411
2010-01-14,2010-01-14,2.82,3.71,11.782215
2010-01-15,2010-01-15,2.81,3.64,11.633363
2010-01-19,2010-01-19,2.8,3.67,11.765039
2010-01-20,2010-01-20,2.7600000000000002,3.6300000000000003,11.73069
2010-01-21,2010-01-21,2.75,3.56,11.421537
2010-01-22,2010-01-22,2.7800000000000002,3.56,11.266957
2010-01-25,2010-01-25,2.8000000000000003,3.6,11.30703
2010-01-26,2010-01-26,2.78,3.58,11.289856
2010-01-27,2010-01-27,2.7600000000000002,3.58,11.398633
2010-01-28,2010-01-28,2.81,3.6,11.39291
2010-01-29,2010-01-29,2.81,3.55,11.186809
2010-02-01,2010-02-01,2.8200000000000003,3.58,11.410084
2010-02-02,2010-02-02,2.81,3.57,11.473062
2010-02-03,2010-02-03,2.85,3.63,11.48451
2010-02-04,2010-02-04,2.8200000000000003,3.5300000000000002,11.129557
2010-02-05,2010-02-05,2.82,3.4899999999999998,11.015054
2010-02-08,2010-02-08,2.83,3.5,10.860475
2010-02-09,2010-02-09,2.83,3.55,11.015054
2010-02-10,2010-02-10,2.81,3.6100000000000003,11.163908
2010-02-11,2010-02-11,2.82,3.62,10.969254
2010-02-12,2010-02-12,2.85,3.59,10.866203
2010-02-16,2010-02-16,2.8400000000000003,3.56,10.9578
2010-02-17,2010-02-17,2.87,3.64,11.163908
2010-02-18,2010-02-18,2.89,3.69,11.14673
2010-02-19,2010-02-19,2.83,3.67,11.249784
2010-02-22,2010-02-22,2.8899999999999997,3.69,11.22673
2010-02-23,2010-02-23,2.82,3.57,11.146044
2010-02-24,2010-02-24,2.83,3.58,11.186388
2010-02-25,2010-02-25,2.8200000000000003,3.5100000000000002,11.1057
2010-02-26,2010-02-26,2.8,3.48,11.128754
2010-03-01,2010-03-01,2.8099999999999996,3.48,11.163332
2010-03-02,2010-03-02,2.8200000000000003,3.48,11.01349
2010-03-03,2010-03-03,2.81,3.4899999999999998,11.128754
2010-03-04,2010-03-04,2.75,3.4699999999999998,11.382332
2010-03-05,2010-03-05,2.78,3.54,11.474549
2010-03-08,2010-03-08,2.8200000000000003,3.56,11.474549
2010-03-09,2010-03-09,2.82,3.55,11.635916
2010-03-10,2010-03-10,2.81,3.58,11.779998
2010-03-11,2010-03-11,2.76,3.57,11.820344
2010-03-12,2010-03-12,2.74,3.56,11.756942
2010-03-15,2010-03-15,2.75,3.54,11.849153
2010-03-16,2010-03-16,2.73,3.5,11.883736
2010-03-17,2010-03-17,2.7,3.5,11.918311
2010-03-18,2010-03-18,2.7,3.52,11.774233
2010-03-19,2010-03-19,2.68,3.54,11.607104
