Date,Date,spread_10_2,spread_10_3,Adj Close
2007-01-02,2007-01-02,-0.1200000000000001,-0.39000000000000057,20.522284
2007-01-03,2007-01-03,-0.08999999999999986,-0.3799999999999999,20.558655
2007-01-04,2007-01-04,-0.08999999999999986,-0.41999999999999993,20.662565
2007-01-05,2007-01-05,-0.10999999999999943,-0.39999999999999947,20.361223
2007-01-08,2007-01-08,-0.1200000000000001,-0.41999999999999993,20.392403
2007-01-09,2007-01-09,-0.1299999999999999,-0.41999999999999993,20.30407
2007-01-10,2007-01-10,-0.11999999999999922,-0.39999999999999947,20.272909
2007-01-11,2007-01-11,-0.1200000000000001,-0.3700000000000001,20.246927
2007-01-12,2007-01-12,-0.11000000000000032,-0.3200000000000003,20.413177
2007-01-16,2007-01-16,-0.11000000000000032,-0.3600000000000003,20.496313
2007-01-17,2007-01-17,-0.1200000000000001,-0.33000000000000007,20.314463
2007-01-18,2007-01-18,-0.13999999999999968,-0.3700000000000001,20.293692
2007-01-19,2007-01-19,-0.14999999999999947,-0.35999999999999943,20.47554
2007-01-22,2007-01-22,-0.15000000000000036,-0.3700000000000001,20.522284
2007-01-23,2007-01-23,-0.13000000000000078,-0.33000000000000007,20.667759
2007-01-24,2007-01-24,-0.1200000000000001,-0.3200000000000003,20.70933
2007-01-25,2007-01-25,-0.11000000000000032,-0.2699999999999996,20.60022
2007-01-26,2007-01-26,-0.11000000000000032,-0.25,20.56905
2007-01-29,2007-01-29,-0.08999999999999986,-0.23999999999999932,20.527479
2007-01-30,2007-01-30,-0.10000000000000053,-0.25,20.465137
2007-01-31,2007-01-31,-0.11000000000000032,-0.29000000000000004,20.626192
2007-02-01,2007-02-01,-0.1200000000000001,-0.29000000000000004,21.041838
2007-02-02,2007-02-02,-0.11000000000000032,-0.3099999999999996,20.922342
2007-02-05,2007-02-05,-0.11000000000000032,-0.34000000000000075,21.187305
2007-02-06,2007-02-06,-0.13000000000000078,-0.3700000000000001,21.228872
2007-02-07,2007-02-07,-0.1299999999999999,-0.41000000000000014,21.317196
2007-02-08,2007-02-08,-0.13999999999999968,-0.4299999999999997,21.36396
2007-02-09,2007-02-09,-0.1299999999999999,-0.3600000000000003,21.083406
2007-02-12,2007-02-12,-0.14000000000000057,-0.3799999999999999,21.124969
2007-02-13,2007-02-13,-0.1299999999999999,-0.34999999999999964,21.119766
2007-02-14,2007-02-14,-0.1299999999999999,-0.41999999999999993,20.792452
2007-02-15,2007-02-15,-0.1299999999999999,-0.46999999999999975,20.979502
2007-02-16,2007-02-16,-0.13999999999999968,-0.47999999999999954,21.041838
2007-02-20,2007-02-20,-0.1299999999999999,-0.5100000000000007,21.187305
2007-02-21,2007-02-21,-0.1299999999999999,-0.4899999999999993,20.989891
2007-02-22,2007-02-22,-0.13999999999999968,-0.45999999999999996,20.968996
2007-02-23,2007-02-23,-0.14000000000000057,-0.5,20.90634
2007-02-26,2007-02-26,-0.13999999999999968,-0.5600000000000005,20.968996
2007-02-27,2007-02-27,-0.08999999999999986,-0.6399999999999997,20.363317
2007-02-28,2007-02-28,-0.09000000000000075,-0.6000000000000005,20.478189
2007-03-01,2007-03-01,-0.07000000000000028,-0.5900000000000007,20.415537
2007-03-02,2007-03-02,-0.040000000000000036,-0.6000000000000005,20.488638
2007-03-05,2007-03-05,-0.020000000000000462,-0.5899999999999999,20.337212
