Date,Date,spread_10_3,Adj Close
2000-07-14,2000-07-14,-0.07000000000000028,22.388699
2000-07-17,2000-07-17,0.019999999999999574,22.388699
2000-07-18,2000-07-18,0.0,22.388699
2000-07-19,2000-07-19,-0.019999999999999574,22.247837
2000-07-20,2000-07-20,-0.16999999999999993,22.81209
2000-07-21,2000-07-21,-0.1200000000000001,22.81209
2000-07-24,2000-07-24,-0.16999999999999993,22.81209
2000-07-25,2000-07-25,-0.16000000000000014,22.81209
2000-07-26,2000-07-26,-0.13999999999999968,22.81209
2000-07-27,2000-07-27,-0.20000000000000018,22.81209
2000-07-28,2000-07-28,-0.16000000000000014,20.935072
2000-07-31,2000-07-31,-0.22999999999999954,20.935072
2000-08-01,2000-08-01,-0.25,21.418734
2000-08-02,2000-08-02,-0.2699999999999996,21.464787
2000-08-03,2000-08-03,-0.28000000000000025,21.53388
2000-08-04,2000-08-04,-0.3200000000000003,21.53388
2000-08-07,2000-08-07,-0.3100000000000005,21.53388
2000-08-08,2000-08-08,-0.33000000000000007,21.53388
2000-08-09,2000-08-09,-0.4400000000000004,21.53388
2000-08-10,2000-08-10,-0.4900000000000002,21.53388
2000-08-11,2000-08-11,-0.5,21.53388
2000-08-14,2000-08-14,-0.4899999999999993,21.53388
2000-08-15,2000-08-15,-0.47000000000000064,21.53388
2000-08-16,2000-08-16,-0.4399999999999995,22.547247
2000-08-17,2000-08-17,-0.45999999999999996,22.547247
2000-08-18,2000-08-18,-0.4899999999999993,22.74301
2000-08-21,2000-08-21,-0.5099999999999998,23.088463
2000-08-22,2000-08-22,-0.5,23.088463
2000-08-23,2000-08-23,-0.5599999999999996,23.065439
2000-08-24,2000-08-24,-0.5599999999999996,23.065439
2000-08-25,2000-08-25,-0.5799999999999992,23.065439
2000-08-28,2000-08-28,-0.54,23.652729
2000-08-29,2000-08-29,-0.5,23.433931
2000-08-30,2000-08-30,-0.5100000000000007,23.433931
2000-08-31,2000-08-31,-0.5799999999999992,23.549093
2000-09-01,2000-09-01,-0.5899999999999999,23.721817
2000-09-05,2000-09-05,-0.5799999999999992,23.652729
2000-09-06,2000-09-06,-0.4900000000000002,23.652729
2000-09-07,2000-09-07,-0.4400000000000004,23.652729
2000-09-08,2000-09-08,-0.40999999999999925,23.652729
2000-09-11,2000-09-11,-0.34000000000000075,23.652729
2000-09-12,2000-09-12,-0.3099999999999996,23.030888
2000-09-13,2000-09-13,-0.34999999999999964,23.042406
2000-09-14,2000-09-14,-0.34999999999999964,23.042406
2000-09-15,2000-09-15,-0.2999999999999998,22.800581
2000-09-18,2000-09-18,-0.27000000000000046,22.201769
2000-09-19,2000-09-19,-0.3099999999999996,22.201769
2000-09-20,2000-09-20,-0.25,22.201769
2000-09-21,2000-09-21,-0.28000000000000025,22.201769
2000-09-22,2000-09-22,-0.3100000000000005,22.201769
2000-09-25,2000-09-25,-0.33999999999999986,22.201769
2000-09-26,2000-09-26,-0.3700000000000001,22.639362
2000-09-27,2000-09-27,-0.3700000000000001,22.639362
2000-09-28,2000-09-28,-0.4299999999999997,22.570269
2000-09-29,2000-09-29,-0.4300000000000006,22.570269
2000-10-02,2000-10-02,-0.4399999999999995,22.19026
2000-10-03,2000-10-03,-0.3700000000000001,22.19026
2000-10-04,2000-10-04,-0.33999999999999986,22.478146
2000-10-05,2000-10-05,-0.3799999999999999,22.46664
2000-10-06,2000-10-06,-0.41999999999999993,21.959957
2000-10-10,2000-10-10,-0.46999999999999975,21.764189
2000-10-11,2000-10-11,-0.46000000000000085,21.176907
2000-10-12,2000-10-12,-0.45999999999999996,20.716284
2000-10-13,2000-10-13,-0.45999999999999996,20.808413
2000-10-16,2000-10-16,-0.54,21.568422
2000-10-17,2000-10-17,-0.6200000000000001,21.280546
2000-10-18,2000-10-18,-0.6399999999999997,21.275932
2000-10-19,2000-10-19,-0.6600000000000001,21.275932
2000-10-20,2000-10-20,-0.6699999999999999,21.275932
2000-10-23,2000-10-23,-0.75,21.587111
2000-10-24,2000-10-24,-0.7199999999999998,21.587111
2000-10-25,2000-10-25,-0.7199999999999998,21.587111
2000-10-26,2000-10-26,-0.6699999999999999,20.768816
2000-10-27,2000-10-27,-0.6299999999999999,20.768816
2000-10-30,2000-10-30,-0.6499999999999995,21.368135
2000-10-31,2000-10-31,-0.6100000000000003,21.368135
2000-11-01,2000-11-01,-0.6299999999999999,22.071194
2000-11-02,2000-11-02,-0.6299999999999999,22.26712
2000-11-03,2000-11-03,-0.5499999999999998,22.094242
2000-11-06,2000-11-06,-0.5499999999999998,22.27865
2000-11-07,2000-11-07,-0.5499999999999998,22.209492
2000-11-08,2000-11-08,-0.54,22.03661
2000-11-09,2000-11-09,-0.5800000000000001,21.690845
2000-11-10,2000-11-10,-0.5499999999999998,21.448818
2000-11-13,2000-11-13,-0.6200000000000001,20.89559
2000-11-14,2000-11-14,-0.6100000000000003,21.391188
2000-11-15,2000-11-15,-0.6600000000000001,21.598642
2000-11-16,2000-11-16,-0.6699999999999999,21.379654
2000-11-17,2000-11-17,-0.6399999999999997,21.310505
2000-11-20,2000-11-20,-0.6800000000000006,20.976271
2000-11-21,2000-11-21,-0.6900000000000004,21.212551
2000-11-22,2000-11-22,-0.7400000000000002,21.212551
2000-11-24,2000-11-24,-0.7300000000000004,20.884071
2000-11-27,2000-11-27,-0.6900000000000004,21.252882
2000-11-28,2000-11-28,-0.6900000000000004,20.791866
2000-11-29,2000-11-29,-0.6900000000000004,20.642038
2000-11-30,2000-11-30,-0.7299999999999995,20.10034
2000-12-01,2000-12-01,-0.7100000000000009,20.10034
2000-12-04,2000-12-04,-0.6200000000000001,20.976271
2000-12-05,2000-12-05,-0.6500000000000004,22.013554
2000-12-06,2000-12-06,-0.7699999999999996,21.87525
2000-12-07,2000-12-07,-0.79,21.73695
2000-12-08,2000-12-08,-0.7400000000000002,22.128813
2000-12-11,2000-12-11,-0.71,22.35932
2000-12-12,2000-12-12,-0.6999999999999993,21.990499
2000-12-13,2000-12-13,-0.7699999999999996,21.644739
2000-12-14,2000-12-14,-0.8299999999999992,21.43729
2000-12-15,2000-12-15,-0.8199999999999994,20.538303
2000-12-18,2000-12-18,-0.7800000000000002,20.538303
2000-12-19,2000-12-19,-0.7399999999999993,20.757284
2000-12-20,2000-12-20,-0.7400000000000002,19.908833
2000-12-21,2000-12-21,-0.34999999999999964,19.908833
2000-12-22,2000-12-22,-0.25,20.348415
2000-12-26,2000-12-26,-0.8099999999999996,20.556646
2000-12-27,2000-12-27,-0.6399999999999997,20.996237
2000-12-28,2000-12-28,-0.7400000000000002,21.054083
2000-12-29,2000-12-29,-0.7699999999999996,20.915258
2001-01-02,2001-01-02,-0.9500000000000002,19.770016
2001-01-03,2001-01-03,-0.5500000000000007,21.054083
2001-01-04,2001-01-04,-0.33999999999999986,20.845848
2001-01-05,2001-01-05,-0.1900000000000004,20.255871
2001-01-08,2001-01-08,-0.25,19.989811
2001-01-09,2001-01-09,-0.2599999999999998,20.140182
2001-01-10,2001-01-10,-0.1900000000000004,20.186474
2001-01-11,2001-01-11,-0.16999999999999993,20.776451
2001-01-12,2001-01-12,-0.08000000000000007,20.57979
2001-01-16,2001-01-16,-0.13999999999999968,20.915258
2001-01-17,2001-01-17,-0.16999999999999993,21.077217
2001-01-18,2001-01-18,-0.16000000000000014,21.192894
2001-01-19,2001-01-19,-0.04999999999999982,20.961529
2001-01-22,2001-01-22,0.019999999999999574,20.753311
2001-01-23,2001-01-23,0.05999999999999961,21.123491
2001-01-24,2001-01-24,0.04999999999999982,21.007818
2001-01-25,2001-01-25,0.009999999999999787,21.146631
2001-01-26,2001-01-26,0.1200000000000001,20.82271
2001-01-29,2001-01-29,0.20999999999999996,20.878242
2001-01-30,2001-01-30,0.22000000000000064,21.322454
2001-01-31,2001-01-31,0.20000000000000018,21.155876
2001-02-01,2001-02-01,0.09999999999999964,21.211405
2001-02-02,2001-02-02,0.11000000000000032,20.878242
2001-02-05,2001-02-05,0.1200000000000001,21.007818
2001-02-06,2001-02-06,0.14999999999999947,21.137371
2001-02-07,2001-02-07,0.02999999999999936,20.804199
2001-02-08,2001-02-08,0.019999999999999574,20.970797
2001-02-09,2001-02-09,-0.02999999999999936,20.415514
2001-02-12,2001-02-12,0.009999999999999787,20.415514
2001-02-13,2001-02-13,0.020000000000000462,20.785704
2001-02-14,2001-02-14,0.05999999999999961,20.619116
2001-02-15,2001-02-15,0.11000000000000032,21.174385
2001-02-16,2001-02-16,0.09000000000000075,20.47106
2001-02-20,2001-02-20,0.07000000000000028,20.582096
2001-02-21,2001-02-21,0.1200000000000001,20.359989
2001-02-22,2001-02-22,0.14000000000000057,20.026823
2001-02-23,2001-02-23,0.20999999999999996,19.545593
2001-02-26,2001-02-26,0.2400000000000002,20.341488
2001-02-27,2001-02-27,0.13999999999999968,20.156387
2001-02-28,2001-02-28,0.07000000000000028,19.897261
2001-03-01,2001-03-01,0.03000000000000025,19.804718
2001-03-02,2001-03-02,0.11000000000000032,19.749191
2001-03-05,2001-03-05,0.16000000000000014,19.915768
2001-03-06,2001-03-06,0.20000000000000018,20.156387
2001-03-07,2001-03-07,0.22999999999999954,20.285954
2001-03-08,2001-03-08,0.20999999999999996,20.241537
2001-03-09,2001-03-09,0.23000000000000043,19.816284
2001-03-12,2001-03-12,0.2599999999999998,18.611374
2001-03-13,2001-03-13,0.29000000000000004,18.655853
2001-03-14,2001-03-14,0.2999999999999998,18.407471
2001-03-15,2001-03-15,0.29000000000000004,18.500143
2001-03-16,2001-03-16,0.2400000000000002,17.740128
2001-03-19,2001-03-19,0.29000000000000004,17.758657
2001-03-20,2001-03-20,0.29000000000000004,18.110859
2001-03-21,2001-03-21,0.45999999999999996,17.462059
2001-03-22,2001-03-22,0.47000000000000064,17.128387
2001-03-23,2001-03-23,0.5099999999999998,17.462059
2001-03-26,2001-03-26,0.5599999999999996,17.869881
2001-03-27,2001-03-27,0.6500000000000004,18.240631
2001-03-28,2001-03-28,0.6299999999999999,17.814262
2001-03-29,2001-03-29,0.6600000000000001,17.684505
2001-03-30,2001-03-30,0.6299999999999999,17.64002
2001-04-02,2001-04-02,0.7600000000000007,17.684505
2001-04-03,2001-04-03,0.79,16.850336
2001-04-04,2001-04-04,0.8400000000000007,16.924477
2001-04-05,2001-04-05,0.8700000000000001,17.703043
2001-04-06,2001-04-06,0.9499999999999997,17.387915
2001-04-09,2001-04-09,0.9999999999999996,17.610355
2001-04-10,2001-04-10,1.15,18.407471
2001-04-11,2001-04-11,1.04,18.129404
2001-04-12,2001-04-12,1.1600000000000001,18.129404
2001-04-16,2001-04-16,1.13,18.481607
2001-04-17,2001-04-17,1.0899999999999999,18.611374
2001-04-18,2001-04-18,1.2299999999999995,19.705063
2001-04-19,2001-04-19,1.3999999999999995,19.853363
2001-04-20,2001-04-20,1.52,19.853363
2001-04-23,2001-04-23,1.4500000000000002,19.482613
2001-04-24,2001-04-24,1.42,19.401045
2001-04-25,2001-04-25,1.4400000000000004,19.630922
2001-04-26,2001-04-26,1.37,19.871899
2001-04-27,2001-04-27,1.4899999999999998,20.094349
2001-04-30,2001-04-30,1.3999999999999995,20.112879
2001-05-01,2001-05-01,1.38,20.131424
2001-05-02,2001-05-02,1.4199999999999995,20.112879
2001-05-03,2001-05-03,1.38,19.946051
2001-05-04,2001-05-04,1.4699999999999998,20.187031
2001-05-07,2001-05-07,1.4699999999999998,20.168499
2001-05-08,2001-05-08,1.54,20.19445
2001-05-09,2001-05-09,1.48,20.168499
2001-05-10,2001-05-10,1.5699999999999994,20.390942
2001-05-11,2001-05-11,1.73,20.101759
2001-05-14,2001-05-14,1.75,20.168499
2001-05-15,2001-05-15,1.87,20.35387
2001-05-16,2001-05-16,1.9100000000000006,20.891451
2001-05-17,2001-05-17,1.8900000000000001,21.169502
2001-05-18,2001-05-18,1.8000000000000003,21.280737
2001-05-21,2001-05-21,1.7600000000000002,21.577324
2001-05-22,2001-05-22,1.7799999999999998,21.63294
2001-05-23,2001-05-23,1.77,21.317802
2001-05-24,2001-05-24,1.8199999999999994,21.169502
2001-05-25,2001-05-25,1.8599999999999994,20.846962
2001-05-29,2001-05-29,1.83,20.669003
2001-05-30,2001-05-30,1.8599999999999999,20.35387
2001-05-31,2001-05-31,1.7999999999999998,20.46509
2001-06-01,2001-06-01,1.7199999999999998,20.446548
2001-06-04,2001-06-04,1.6699999999999995,20.594854
2001-06-05,2001-06-05,1.6600000000000001,20.780222
2001-06-06,2001-06-06,1.6499999999999995,20.594854
2001-06-07,2001-06-07,1.7000000000000002,20.669003
2001-06-08,2001-06-08,1.7399999999999998,20.417536
2001-06-11,2001-06-11,1.7200000000000002,20.028093
2001-06-12,2001-06-12,1.7099999999999995,20.195004
