Date,Date,spread_10_3,Adj Close
2000-06-20,2000-06-20,0.2400000000000002,22.811615
2000-06-21,2000-06-21,0.3000000000000007,22.811615
2000-06-22,2000-06-22,0.28000000000000025,22.526461
2000-06-23,2000-06-23,0.33000000000000007,22.322794
2000-06-26,2000-06-26,0.29000000000000004,22.322794
2000-06-27,2000-06-27,0.2699999999999996,22.689413
2000-06-28,2000-06-28,0.3000000000000007,22.689413
2000-06-29,2000-06-29,0.1900000000000004,22.689413
2000-06-30,2000-06-30,0.15000000000000036,22.689413
2000-07-03,2000-07-03,0.0,22.078377
2000-07-05,2000-07-05,0.0,22.078377
2000-07-06,2000-07-06,0.03000000000000025,22.078377
2000-07-07,2000-07-07,-0.03000000000000025,22.078377
2000-07-10,2000-07-10,-0.05999999999999961,22.078377
2000-07-11,2000-07-11,-0.040000000000000036,23.259706
2000-07-12,2000-07-12,-0.08000000000000007,23.259706
2000-07-13,2000-07-13,-0.16999999999999993,23.259706
2000-07-14,2000-07-14,-0.07000000000000028,23.17823
2000-07-17,2000-07-17,0.019999999999999574,23.17823
2000-07-18,2000-07-18,0.0,23.17823
2000-07-19,2000-07-19,-0.019999999999999574,23.157036
2000-07-20,2000-07-20,-0.16999999999999993,23.157036
2000-07-21,2000-07-21,-0.1200000000000001,23.157036
2000-07-24,2000-07-24,-0.16999999999999993,23.157036
2000-07-25,2000-07-25,-0.16000000000000014,23.157036
2000-07-26,2000-07-26,-0.13999999999999968,23.157036
2000-07-27,2000-07-27,-0.20000000000000018,23.157036
2000-07-28,2000-07-28,-0.16000000000000014,21.913561
2000-07-31,2000-07-31,-0.22999999999999954,22.362032
2000-08-01,2000-08-01,-0.25,22.362032
2000-08-02,2000-08-02,-0.2699999999999996,22.586252
2000-08-03,2000-08-03,-0.28000000000000025,22.586252
2000-08-04,2000-08-04,-0.3200000000000003,22.586252
2000-08-07,2000-08-07,-0.3100000000000005,22.586252
2000-08-08,2000-08-08,-0.33000000000000007,23.034729
2000-08-09,2000-08-09,-0.4400000000000004,23.034729
2000-08-10,2000-08-10,-0.4900000000000002,23.034729
2000-08-11,2000-08-11,-0.5,23.034729
2000-08-14,2000-08-14,-0.4899999999999993,23.034729
2000-08-15,2000-08-15,-0.47000000000000064,23.034729
2000-08-16,2000-08-16,-0.4399999999999995,23.034729
2000-08-17,2000-08-17,-0.45999999999999996,23.034729
2000-08-18,2000-08-18,-0.4899999999999993,23.034729
2000-08-21,2000-08-21,-0.5099999999999998,23.320112
2000-08-22,2000-08-22,-0.5,23.034729
2000-08-23,2000-08-23,-0.5599999999999996,22.892035
2000-08-24,2000-08-24,-0.5599999999999996,22.892035
2000-08-25,2000-08-25,-0.5799999999999992,22.892035
2000-08-28,2000-08-28,-0.54,22.892035
2000-08-29,2000-08-29,-0.5,22.657604
2000-08-30,2000-08-30,-0.5100000000000007,22.657604
2000-08-31,2000-08-31,-0.5799999999999992,22.698381
2000-09-01,2000-09-01,-0.5899999999999999,22.647417
2000-09-05,2000-09-05,-0.5799999999999992,23.034729
2000-09-06,2000-09-06,-0.4900000000000002,23.330292
2000-09-07,2000-09-07,-0.4400000000000004,22.198963
2000-09-08,2000-09-08,-0.40999999999999925,21.995102
2000-09-11,2000-09-11,-0.34000000000000075,21.832027
2000-09-12,2000-09-12,-0.3099999999999996,21.832027
2000-09-13,2000-09-13,-0.34999999999999964,21.832027
2000-09-14,2000-09-14,-0.34999999999999964,20.996254
2000-09-15,2000-09-15,-0.2999999999999998,20.833174
2000-09-18,2000-09-18,-0.27000000000000046,20.833174
2000-09-19,2000-09-19,-0.3099999999999996,20.466253
2000-09-20,2000-09-20,-0.25,20.466253
2000-09-21,2000-09-21,-0.28000000000000025,19.77317
2000-09-22,2000-09-22,-0.3100000000000005,19.569324
2000-09-25,2000-09-25,-0.33999999999999986,19.630468
2000-09-26,2000-09-26,-0.3700000000000001,19.630468
2000-09-27,2000-09-27,-0.3700000000000001,19.283926
2000-09-28,2000-09-28,-0.4299999999999997,19.936251
2000-09-29,2000-09-29,-0.4300000000000006,20.343948
2000-10-02,2000-10-02,-0.4399999999999995,20.221632
2000-10-03,2000-10-03,-0.3700000000000001,20.221632
2000-10-04,2000-10-04,-0.33999999999999986,20.221632
2000-10-05,2000-10-05,-0.3799999999999999,21.20009
2000-10-06,2000-10-06,-0.41999999999999993,21.312212
2000-10-10,2000-10-10,-0.46999999999999975,21.485487
2000-10-11,2000-10-11,-0.46000000000000085,21.20009
2000-10-12,2000-10-12,-0.45999999999999996,21.20009
2000-10-13,2000-10-13,-0.45999999999999996,19.610086
2000-10-16,2000-10-16,-0.54,19.610086
2000-10-17,2000-10-17,-0.6200000000000001,19.447021
2000-10-18,2000-10-18,-0.6399999999999997,19.397804
2000-10-19,2000-10-19,-0.6600000000000001,19.520832
2000-10-20,2000-10-20,-0.6699999999999999,19.520832
2000-10-23,2000-10-23,-0.75,19.56184
2000-10-24,2000-10-24,-0.7199999999999998,19.56184
