Date,Open,High,Low,Close,Adj Close,Volume
2000-06-28,14.921875,14.921875,14.921875,14.921875,12.424264,800
2000-06-29,14.921875,14.921875,14.921875,14.921875,12.424264,0
2000-06-30,14.859375,14.859375,14.859375,14.859375,12.372220,800
2000-07-03,14.859375,14.859375,14.859375,14.859375,12.372220,0
2000-07-05,14.859375,14.859375,14.859375,14.859375,12.372220,0
2000-07-06,15.187500,15.187500,15.187500,15.187500,12.645429,400
2000-07-07,15.554688,15.554688,15.554688,15.554688,12.951155,2000
2000-07-10,15.554688,15.554688,15.554688,15.554688,12.951155,0
2000-07-11,15.554688,15.554688,15.554688,15.554688,12.951155,0
2000-07-12,15.554688,15.554688,15.554688,15.554688,12.951155,0
2000-07-13,15.554688,15.554688,15.554688,15.554688,12.951155,0
2000-07-14,15.929688,15.929688,15.929688,15.929688,13.263390,3200
2000-07-17,15.875000,15.875000,15.875000,15.875000,13.217855,1600
2000-07-18,15.875000,15.875000,15.875000,15.875000,13.217855,0
2000-07-19,15.750000,15.750000,15.742188,15.742188,13.107270,4000
2000-07-20,15.742188,15.742188,15.742188,15.742188,13.107270,0
2000-07-21,15.742188,15.742188,15.742188,15.742188,13.107270,0
2000-07-24,15.742188,15.742188,15.742188,15.742188,13.107270,0
2000-07-25,15.742188,15.742188,15.742188,15.742188,13.107270,0
2000-07-26,15.359375,15.359375,15.359375,15.359375,12.788537,400
2000-07-27,15.382813,15.382813,15.382813,15.382813,12.808049,400
2000-07-28,14.972656,14.972656,14.972656,14.972656,12.466544,2000
2000-07-31,14.906250,14.906250,14.906250,14.906250,12.411254,2000
2000-08-01,14.906250,14.906250,14.906250,14.906250,12.411254,0
2000-08-02,14.906250,14.906250,14.906250,14.906250,12.411254,0
2000-08-03,14.906250,14.906250,14.906250,14.906250,12.411254,0
2000-08-04,14.906250,14.906250,14.906250,14.906250,12.411254,0
2000-08-07,14.906250,14.906250,14.906250,14.906250,12.411254,0
2000-08-08,15.718750,15.718750,15.718750,15.718750,13.087754,400
2000-08-09,15.718750,15.718750,15.718750,15.718750,13.087754,0
2000-08-10,15.718750,15.718750,15.718750,15.718750,13.087754,0
2000-08-11,15.718750,15.718750,15.718750,15.718750,13.087754,0
2000-08-14,15.718750,15.718750,15.718750,15.718750,13.087754,0
2000-08-15,15.718750,15.718750,15.718750,15.718750,13.087754,0
2000-08-16,15.218750,15.218750,15.156250,15.156250,12.619404,3600
2000-08-17,15.085938,15.085938,15.085938,15.085938,12.560864,400
2000-08-18,15.085938,15.085938,15.085938,15.085938,12.560864,0
2000-08-21,15.078125,15.078125,15.078125,15.078125,12.554358,400
2000-08-22,15.078125,15.078125,15.078125,15.078125,12.554358,0
2000-08-23,15.187500,15.187500,15.187500,15.187500,12.645429,800
2000-08-24,15.117188,15.132813,15.117188,15.132813,12.599896,1600
2000-08-25,15.132813,15.132813,15.132813,15.132813,12.599896,0
2000-08-28,15.148438,15.148438,15.148438,15.148438,12.612901,2000
2000-08-29,15.148438,15.148438,15.148438,15.148438,12.612901,0
2000-08-30,15.023438,15.023438,15.023438,15.023438,12.508831,400
2000-08-31,14.875000,14.921875,14.875000,14.921875,12.424264,1200
2000-09-01,14.921875,14.921875,14.921875,14.921875,12.424264,0
2000-09-05,15.000000,15.000000,15.000000,15.000000,12.489307,400
2000-09-06,15.000000,15.000000,15.000000,15.000000,12.489307,0
2000-09-07,15.007813,15.007813,15.007813,15.007813,12.495817,2000
2000-09-08,15.007813,15.007813,15.007813,15.007813,12.495817,0
2000-09-11,15.269531,15.269531,15.269531,15.269531,12.713724,1200
2000-09-12,15.253906,15.253906,15.253906,15.253906,12.700714,400
2000-09-13,15.253906,15.253906,15.253906,15.253906,12.700714,0
2000-09-14,15.304688,15.304688,15.304688,15.304688,12.743003,14400
2000-09-15,15.250000,15.250000,15.250000,15.250000,12.697468,400
2000-09-18,15.125000,15.125000,15.125000,15.125000,12.593390,2000
2000-09-19,14.750000,14.796875,14.750000,14.757813,12.287661,1600
2000-09-20,14.632813,14.632813,14.632813,14.632813,12.183586,1200
2000-09-21,14.742188,14.789063,14.742188,14.789063,12.313684,1200
2000-09-22,14.562500,14.656250,14.562500,14.656250,12.203099,2400
2000-09-25,14.656250,14.656250,14.656250,14.656250,12.203099,0
2000-09-26,14.656250,14.656250,14.656250,14.656250,12.203099,0
2000-09-27,14.496094,14.496094,14.496094,14.496094,12.069747,400
2000-09-28,14.523438,14.726563,14.523438,14.718750,12.255133,6000
2000-09-29,14.656250,14.656250,14.546875,14.546875,12.112033,800
2000-10-02,14.515625,14.515625,14.449219,14.449219,12.030717,800
2000-10-03,14.449219,14.449219,14.449219,14.449219,12.030717,0
2000-10-04,14.765625,14.765625,14.765625,14.765625,12.294163,400
2000-10-05,14.765625,14.765625,14.765625,14.765625,12.294163,0
2000-10-06,14.765625,14.765625,14.765625,14.765625,12.294163,0
2000-10-09,14.332031,14.335938,14.332031,14.335938,11.936403,800
2000-10-10,14.335938,14.335938,14.335938,14.335938,11.936403,0
2000-10-11,14.125000,14.125000,13.812500,13.812500,11.500574,16800
2000-10-12,13.132813,13.132813,13.132813,13.132813,10.934656,800
2000-10-13,13.000000,13.000000,13.000000,13.000000,10.824074,400
2000-10-16,13.453125,13.468750,13.417969,13.417969,11.172079,3200
2000-10-17,13.437500,13.437500,12.921875,12.921875,10.759021,1600
2000-10-18,12.906250,12.906250,12.906250,12.906250,10.749339,0
2000-10-19,12.906250,12.906250,12.906250,12.906250,10.749339,0
2000-10-20,13.609375,13.609375,13.609375,13.609375,11.334955,800
2000-10-23,13.609375,13.609375,13.609375,13.609375,11.334955,0
2000-10-24,13.890625,13.937500,13.796875,13.796875,11.491121,1600
2000-10-25,13.671875,13.671875,13.625000,13.625000,11.347973,800
2000-10-26,13.460938,13.476563,13.460938,13.476563,11.224341,1600
2000-10-27,13.515625,13.656250,13.515625,13.656250,11.373998,2000
2000-10-30,13.953125,14.007813,13.953125,14.007813,11.666805,2400
2000-10-31,14.265625,14.484375,14.250000,14.484375,12.063726,4400
2000-11-01,14.500000,14.570313,14.500000,14.570313,12.135302,2400
2000-11-02,14.570313,14.710938,14.492188,14.710938,12.252424,12800
2000-11-03,14.746094,14.746094,14.746094,14.746094,12.281707,800
2000-11-06,14.625000,14.625000,14.625000,14.625000,12.180845,800
2000-11-07,14.648438,14.648438,14.617188,14.617188,12.174341,3600
2000-11-08,14.750000,14.750000,14.664063,14.671875,12.219887,4800
2000-11-09,14.089844,14.089844,13.921875,13.921875,11.595233,5200
2000-11-10,13.703125,13.718750,13.648438,13.648438,11.367492,7200
2000-11-13,13.507813,13.679688,13.441406,13.609375,11.334955,30400
2000-11-14,13.859375,14.046875,13.859375,14.000000,11.660304,5600
2000-11-15,13.957031,14.101563,13.957031,14.101563,11.744895,134000
2000-11-16,14.031250,14.031250,13.945313,13.945313,11.614748,12800
2000-11-17,13.859375,13.898438,13.859375,13.898438,11.575709,3200
2000-11-20,13.859375,13.859375,13.601563,13.601563,11.328446,13600
2000-11-21,13.460938,13.476563,13.437500,13.476563,11.224341,6400
2000-11-22,13.312500,13.398438,13.312500,13.398438,11.159269,20000
2000-11-24,13.367188,13.460938,13.367188,13.460938,11.211326,1600
2000-11-27,13.742188,13.781250,13.742188,13.781250,11.478102,71200
2000-11-28,13.750000,13.750000,13.625000,13.625000,11.347973,29600
2000-11-29,13.664063,13.679688,13.593750,13.640625,11.360981,23200
2000-11-30,13.382813,13.476563,13.343750,13.476563,11.224341,6000
2000-12-01,13.640625,13.750000,13.617188,13.617188,11.341463,5600
2000-12-04,13.523438,13.640625,13.523438,13.562500,11.295914,7600
2000-12-05,13.726563,14.070313,13.726563,14.070313,11.718862,11600
2000-12-06,13.984375,14.062500,13.976563,13.976563,11.640781,65600
2000-12-07,13.890625,13.906250,13.796875,13.820313,11.510648,11600
