,date,open,high,low,close,volume,dividend,stock_splits,ticker,fund_name,sector,USRECD_20250829,T10Y3M,spline,lagged_recession_periods,periods,deriv_spline
0,1990-01-02,,,,,,,,,,,0.0,0.11,0.12769298151395084,0.0,,0.005610018291368775
1,1990-01-03,,,,,,,,,,,0.0,0.1,0.13330696463757108,0.0,,0.005616687907218081
2,1990-01-04,,,,,,,,,,,0.0,0.14,0.13892759775666716,0.0,,0.005623316797780842
3,1990-01-05,,,,,,,,,,,0.0,0.2,0.14455484014140638,0.0,,0.005629904963057066
4,1990-01-08,,,,,,,,,,,0.0,0.22,0.15018865106195578,0.0,,0.005636452403046747
5,1990-01-09,,,,,,,,,,,0.0,0.21,0.15582898978848284,0.0,,0.005642959117749889
6,1990-01-10,,,,,,,,,,,0.0,0.27,0.16147581559115445,0.0,,0.005649425107166487
7,1990-01-11,,,,,,,,,,,0.0,0.23,0.16712908774013813,0.0,,0.005655850371296547
8,1990-01-12,,,,,,,,,,,0.0,0.35,0.17278876550560093,0.0,,0.005662234910140066
9,1990-01-16,,,,,,,,,,,0.0,0.3,0.17845480815771,0.0,,0.005668578723697043
10,1990-01-17,,,,,,,,,,,0.0,0.21,0.18412717496663272,0.0,,0.00567488181196748
11,1990-01-18,,,,,,,,,,,0.0,0.28,0.1898058252025361,0.0,,0.0056811441749513745
12,1990-01-19,,,,,,,,,,,0.0,0.25,0.1954907181355876,0.0,,0.005687365812648731
13,1990-01-22,,,,,,,,,,,0.0,0.27,0.2011818130359542,0.0,,0.0056935467250595435
14,1990-01-23,,,,,,,,,,,0.0,0.33,0.20687906917380328,0.0,,0.00569968691218382
15,1990-01-24,,,,,,,,,,,0.0,0.45,0.21258244581930202,0.0,,0.0057057863740215525
16,1990-01-25,,,,,,,,,,,0.0,0.46,0.21829190224261746,0.0,,0.005711845110572741
17,1990-01-26,,,,,,,,,,,0.0,0.56,0.22400739771391706,0.0,,0.005717863121837393
18,1990-01-29,,,,,,,,,,,0.0,0.5,0.2297288915033678,0.0,,0.005723840407815501
19,1990-01-30,,,,,,,,,,,0.0,0.5,0.23545634288113715,0.0,,0.005729776968507072
20,1990-01-31,,,,,,,,,,,0.0,0.42,0.24118971111739215,0.0,,0.0057356728039121025
21,1990-02-01,,,,,,,,,,,0.0,0.4,0.24692895548229993,0.0,,0.005741527914030586
22,1990-02-02,,,,,,,,,,,0.0,0.42,0.2526740352460279,0.0,,0.005747342298862534
23,1990-02-05,,,,,,,,,,,0.0,0.44,0.2584249096787431,0.0,,0.005753115958407938
