date,open,high,low,close,volume,dividend,stock_splits,ticker,fund_name,sector,USRECD_20250829,T10Y3M,spline,lagged_recession_periods,periods
1990-01-02,,,,,,,,,,,0,0.11,0.12954158356014,0,
1990-01-03,,,,,,,,,,,0,0.1,0.135121558068586,0,
1990-01-04,,,,,,,,,,,0,0.14,0.140708418483681,0,
1990-01-05,,,,,,,,,,,0,0.2,0.146302123452619,0,
1990-01-08,,,,,,,,,,,0,0.22,0.151902631622591,0,
1990-01-09,,,,,,,,,,,0,0.21,0.15750990164079,0,
1990-01-10,,,,,,,,,,,0,0.27,0.163123892154408,0,
1990-01-11,,,,,,,,,,,0,0.23,0.168744561810637,0,
1990-01-12,,,,,,,,,,,0,0.35,0.17437186925667,0,
1990-01-16,,,,,,,,,,,0,0.3,0.180005773139699,0,
1990-01-17,,,,,,,,,,,0,0.21,0.185646232106917,0,
1990-01-18,,,,,,,,,,,0,0.28,0.191293204805515,0,
1990-01-19,,,,,,,,,,,0,0.25,0.196946649882686,0,
1990-01-22,,,,,,,,,,,0,0.27,0.202606525985622,0,
1990-01-23,,,,,,,,,,,0,0.33,0.208272791761516,0,
1990-01-24,,,,,,,,,,,0,0.45,0.213945405857559,0,
1990-01-25,,,,,,,,,,,0,0.46,0.219624326920945,0,
1990-01-26,,,,,,,,,,,0,0.56,0.225309513598865,0,
1990-01-29,,,,,,,,,,,0,0.5,0.231000924538512,0,
1990-01-30,,,,,,,,,,,0,0.5,0.236698518387078,0,
1990-01-31,,,,,,,,,,,0,0.42,0.242402253791755,0,
1990-02-01,,,,,,,,,,,0,0.4,0.248112089399736,0,
1990-02-02,,,,,,,,,,,0,0.42,0.253827983858213,0,
1990-02-05,,,,,,,,,,,0,0.44,0.259549895814377,0,
1990-02-06,,,,,,,,,,,0,0.48,0.265277783915423,0,
1990-02-07,,,,,,,,,,,0,0.43,0.271011606808541,0,
1990-02-08,,,,,,,,,,,0,0.41,0.276751323140925,0,
1990-02-09,,,,,,,,,,,0,0.29,0.282496891559766,0,
1990-02-12,,,,,,,,,,,0,0.41,0.288248270712257,0,
1990-02-13,,,,,,,,,,,0,0.5,0.294005419245589,0,
1990-02-14,,,,,,,,,,,0,0.48,0.299768295806956,0,
1990-02-15,,,,,,,,,,,0,0.46,0.30553685904355,0,
1990-02-16,,,,,,,,,,,0,0.47,0.311311067602563,0,
1990-02-20,,,,,,,,,,,0,0.55,0.317090880131187,0,
1990-02-21,,,,,,,,,,,0,0.6,0.322876255276614,0,
